especie,n_sp
Myrmotherula hauxwelli,Isleria hauxwelli
Myrmotherulla hauxwelli,Isleria hauxwelli
Tangara schrakii,Tangara schrankii
Tangara schranki,Tangara schrankii
Tangara schrankii,Tangara schrankii
Tangara shrankii,Tangara schrankii
Turdus hauxwelli,Turdus hauxwelli
